lookup,School DBN,SchoolName,SchoolType,SchoolLevel,Regents Exam,Year,Total Tested,Mean Score,Number Scoring Below 65,Percent Scoring Below 65,Number Scoring 65 or Above,Percent Scoring 65 or Above,Number Scoring 80 or Above,Percent Scoring 80 or Above,Number Scoring CR,Percent Scoring CR
01M0342017Common Core Algebra,01M034,P.S. 034 Franklin D. Roosevelt,General Academic,K-8,Common Core Algebra,2017,4,s,s,s,s,s,s,s,na,na
01M0342015Living Environment,01M034,P.S. 034 Franklin D. Roosevelt,General Academic,K-8,Living Environment,2015,16,77.9,1,6.3,15,93.8,7,43.8,na,na
01M0342016Living Environment,01M034,P.S. 034 Franklin D. Roosevelt,General Academic,K-8,Living Environment,2016,9,74.0,1,11.1,8,88.9,2,22.2,na,na
01M1402016Common Core Algebra,01M140,P.S. 140 Nathan Straus,General Academic,K-8,Common Core Algebra,2016,3,s,s,s,s,s,s,s,na,na
01M1402017Common Core Algebra,01M140,P.S. 140 Nathan Straus,General Academic,K-8,Common Core Algebra,2017,2,s,s,s,s,s,s,s,na,na
01M1402015Living Environment,01M140,P.S. 140 Nathan Straus,General Academic,K-8,Living Environment,2015,9,67.4,3,33.3,6,66.7,0,0.0,na,na
01M1402016Living Environment,01M140,P.S. 140 Nathan Straus,General Academic,K-8,Living Environment,2016,15,72.6,2,13.3,13,86.7,5,33.3,na,na
01M1402017Living Environment,01M140,P.S. 140 Nathan Straus,General Academic,K-8,Living Environment,2017,9,64.4,5,55.6,4,44.4,1,11.1,na,na
01M1842015Common Core Algebra,01M184,P.S. 184m Shuang Wen,General Academic,K-8,Common Core Algebra,2015,49,78.4,1,2.0,48,98.0,23,46.9,48,98.0
01M1842016Common Core Algebra,01M184,P.S. 184m Shuang Wen,General Academic,K-8,Common Core Algebra,2016,51,79.0,9,17.6,42,82.4,33,64.7,40,78.4
01M1842017Common Core Algebra,01M184,P.S. 184m Shuang Wen,General Academic,K-8,Common Core Algebra,2017,51,84.8,0,0.0,51,100.0,44,86.3,50,98.0
01M1842017Living Environment,01M184,P.S. 184m Shuang Wen,General Academic,K-8,Living Environment,2017,55,83.9,1,1.8,54,98.2,43,78.2,na,na
01M1882015Common Core Algebra,01M188,P.S. 188 The Island School,General Academic,K-8,Common Core Algebra,2015,23,62.9,14,60.9,9,39.1,0,0.0,2,8.7
01M1882016Common Core Algebra,01M188,P.S. 188 The Island School,General Academic,K-8,Common Core Algebra,2016,22,69.0,6,27.3,16,72.7,2,9.1,15,68.2
01M1882017Common Core Algebra,01M188,P.S. 188 The Island School,General Academic,K-8,Common Core Algebra,2017,20,67.4,7,35.0,13,65.0,1,5.0,10,50.0
01M1882016Common Core English,01M188,P.S. 188 The Island School,General Academic,K-8,Common Core English,2016,1,s,s,s,s,s,s,s,na,na
01M1882016Living Environment,01M188,P.S. 188 The Island School,General Academic,K-8,Living Environment,2016,17,62.1,9,52.9,8,47.1,0,0.0,na,na
01M1882017Living Environment,01M188,P.S. 188 The Island School,General Academic,K-8,Living Environment,2017,3,s,s,s,s,s,s,s,na,na
01M2922015Algebra2/Trigonometry,01M292,Orchard Collegiate Academy,General Academic,High school,Algebra2/Trigonometry,2015,5,s,s,s,s,s,s,s,na,na
01M2922016Algebra2/Trigonometry,01M292,Orchard Collegiate Academy,General Academic,High school,Algebra2/Trigonometry,2016,5,s,s,s,s,s,s,s,na,na
01M2922015Common Core Algebra,01M292,Orchard Collegiate Academy,General Academic,High school,Common Core Algebra,2015,12,52.3,11,91.7,1,8.3,0,0.0,0,0.0
01M2922016Common Core Algebra,01M292,Orchard Collegiate Academy,General Academic,High school,Common Core Algebra,2016,50,63.9,25,50.0,25,50.0,3,6.0,15,30.0
01M2922017Common Core Algebra,01M292,Orchard Collegiate Academy,General Academic,High school,Common Core Algebra,2017,53,67.5,15,28.3,38,71.7,6,11.3,29,54.7
01M2922016Common Core Algebra2,01M292,Orchard Collegiate Academy,General Academic,High school,Common Core Algebra2,2016,6,48.0,6,100.0,0,0.0,0,0.0,0,0.0
01M2922017Common Core Algebra2,01M292,Orchard Collegiate Academy,General Academic,High school,Common Core Algebra2,2017,3,s,s,s,s,s,s,s,na,na
01M2922015Common Core English,01M292,Orchard Collegiate Academy,General Academic,High school,Common Core English,2015,34,61.5,15,44.1,19,55.9,9,26.5,11,32.4
01M2922016Common Core English,01M292,Orchard Collegiate Academy,General Academic,High school,Common Core English,2016,46,67.2,13,28.3,33,71.7,13,28.3,15,32.6
01M2922017Common Core English,01M292,Orchard Collegiate Academy,General Academic,High school,Common Core English,2017,41,77.2,3,7.3,38,92.7,22,53.7,30,73.2
01M2922015Common Core Geometry,01M292,Orchard Collegiate Academy,General Academic,High school,Common Core Geometry,2015,10,49.2,9,90.0,1,10.0,0,0.0,1,10.0
01M2922016Common Core Geometry,01M292,Orchard Collegiate Academy,General Academic,High school,Common Core Geometry,2016,4,s,s,s,s,s,s,s,na,na
01M2922017Common Core Geometry,01M292,Orchard Collegiate Academy,General Academic,High school,Common Core Geometry,2017,11,56.8,9,81.8,2,18.2,0,0.0,1,9.1
01M2922015English,01M292,Orchard Collegiate Academy,General Academic,High school,English,2015,57,63.0,25,43.9,32,56.1,5,8.8,13,22.8
01M2922016English,01M292,Orchard Collegiate Academy,General Academic,High school,English,2016,18,51.6,15,83.3,3,16.7,0,0.0,1,5.6
01M2922015Geometry,01M292,Orchard Collegiate Academy,General Academic,High school,Geometry,2015,18,57.8,12,66.7,6,33.3,1,5.6,1,5.6
01M2922016Geometry,01M292,Orchard Collegiate Academy,General Academic,High school,Geometry,2016,1,s,s,s,s,s,s,s,na,na
01M2922015Global History and Geography,01M292,Orchard Collegiate Academy,General Academic,High school,Global History and Geography,2015,60,54.2,45,75.0,15,25.0,3,5.0,na,na
01M2922016Global History and Geography,01M292,Orchard Collegiate Academy,General Academic,High school,Global History and Geography,2016,65,59.8,33,50.8,32,49.2,4,6.2,na,na
01M2922017Global History and Geography,01M292,Orchard Collegiate Academy,General Academic,High school,Global History and Geography,2017,53,59.3,32,60.4,21,39.6,6,11.3,na,na
01M2922015Integrated Algebra,01M292,Orchard Collegiate Academy,General Academic,High school,Integrated Algebra,2015,63,63.4,30,47.6,33,52.4,5,7.9,5,7.9
01M2922016Integrated Algebra,01M292,Orchard Collegiate Academy,General Academic,High school,Integrated Algebra,2016,7,51.7,5,71.4,2,28.6,0,0.0,0,0.0
01M2922015Living Environment,01M292,Orchard Collegiate Academy,General Academic,High school,Living Environment,2015,74,55.4,50,67.6,24,32.4,2,2.7,na,na
01M2922016Living Environment,01M292,Orchard Collegiate Academy,General Academic,High school,Living Environment,2016,72,63.2,32,44.4,40,55.6,1,1.4,na,na
01M2922017Living Environment,01M292,Orchard Collegiate Academy,General Academic,High school,Living Environment,2017,61,65.0,26,42.6,35,57.4,5,8.2,na,na
01M2922015Physical Settings/Chemistry,01M292,Orchard Collegiate Academy,General Academic,High school,Physical Settings/Chemistry,2015,4,s,s,s,s,s,s,s,na,na
01M2922015Physical Settings/Earth Science,01M292,Orchard Collegiate Academy,General Academic,High school,Physical Settings/Earth Science,2015,20,45.0,18,90.0,2,10.0,0,0.0,na,na
01M2922016Physical Settings/Earth Science,01M292,Orchard Collegiate Academy,General Academic,High school,Physical Settings/Earth Science,2016,31,45.3,25,80.6,6,19.4,0,0.0,na,na
01M2922017Physical Settings/Earth Science,01M292,Orchard Collegiate Academy,General Academic,High school,Physical Settings/Earth Science,2017,36,53.4,26,72.2,10,27.8,1,2.8,na,na
01M2922015U.S. History and Government,01M292,Orchard Collegiate Academy,General Academic,High school,U.S. History and Government,2015,45,71.7,10,22.2,35,77.8,15,33.3,na,na
01M2922016U.S. History and Government,01M292,Orchard Collegiate Academy,General Academic,High school,U.S. History and Government,2016,47,56.2,29,61.7,18,38.3,4,8.5,na,na
01M2922017U.S. History and Government,01M292,Orchard Collegiate Academy,General Academic,High school,U.S. History and Government,2017,42,71.9,10,23.8,32,76.2,15,35.7,na,na
01M3012016Common Core Algebra,01M301,"Technology, Arts, and Sciences Studio",General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2016,4,s,s,s,s,s,s,s,na,na
01M3012017Common Core Algebra,01M301,"Technology, Arts, and Sciences Studio",General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2017,1,s,s,s,s,s,s,s,na,na
01M3012017Living Environment,01M301,"Technology, Arts, and Sciences Studio",General Academic,Junior High-Intermediate-Middle,Living Environment,2017,1,s,s,s,s,s,s,s,na,na
01M3322017Common Core Algebra,01M332,University Neighborhood Middle School,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2017,1,s,s,s,s,s,s,s,na,na
01M3452016Common Core Algebra,01M345,"Collaborative Academy of Science, Technology, & La",General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2016,3,s,s,s,s,s,s,s,na,na
01M3782015Common Core Algebra,01M378,School for Global Leaders,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2015,6,80.7,0,0.0,6,100.0,3,50.0,6,100.0
01M3782016Common Core Algebra,01M378,School for Global Leaders,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2016,7,78.0,0,0.0,7,100.0,5,71.4,6,85.7
01M3782017Common Core Algebra,01M378,School for Global Leaders,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2017,22,72.9,3,13.6,19,86.4,8,36.4,15,68.2
01M3782016Living Environment,01M378,School for Global Leaders,General Academic,Junior High-Intermediate-Middle,Living Environment,2016,2,s,s,s,s,s,s,s,na,na
01M4482015Algebra2/Trigonometry,01M448,University Neighborhood High School,General Academic,High school,Algebra2/Trigonometry,2015,45,62.2,21,46.7,24,53.3,10,22.2,10,22.2
01M4482016Algebra2/Trigonometry,01M448,University Neighborhood High School,General Academic,High school,Algebra2/Trigonometry,2016,55,59.8,36,65.5,19,34.5,9,16.4,9,16.4
01M4482017Algebra2/Trigonometry,01M448,University Neighborhood High School,General Academic,High school,Algebra2/Trigonometry,2017,11,58.6,8,72.7,3,27.3,1,9.1,1,9.1
01M4482015Common Core Algebra,01M448,University Neighborhood High School,General Academic,High school,Common Core Algebra,2015,105,62.6,52,49.5,53,50.5,2,1.9,30,28.6
01M4482016Common Core Algebra,01M448,University Neighborhood High School,General Academic,High school,Common Core Algebra,2016,148,68.2,42,28.4,106,71.6,19,12.8,74,50.0
01M4482017Common Core Algebra,01M448,University Neighborhood High School,General Academic,High school,Common Core Algebra,2017,153,72.9,30,19.6,123,80.4,49,32.0,108,70.6
01M4482016Common Core Algebra2,01M448,University Neighborhood High School,General Academic,High school,Common Core Algebra2,2016,36,67.3,11,30.6,25,69.4,2,5.6,25,69.4
01M4482017Common Core Algebra2,01M448,University Neighborhood High School,General Academic,High school,Common Core Algebra2,2017,59,64.9,23,39.0,36,61.0,6,10.2,36,61.0
01M4482015Common Core English,01M448,University Neighborhood High School,General Academic,High school,Common Core English,2015,70,69.2,20,28.6,50,71.4,24,34.3,31,44.3
01M4482016Common Core English,01M448,University Neighborhood High School,General Academic,High school,Common Core English,2016,97,73.9,14,14.4,83,85.6,45,46.4,58,59.8
01M4482017Common Core English,01M448,University Neighborhood High School,General Academic,High school,Common Core English,2017,150,73.1,27,18.0,123,82.0,68,45.3,88,58.7
01M4482015Common Core Geometry,01M448,University Neighborhood High School,General Academic,High school,Common Core Geometry,2015,76,56.4,59,77.6,17,22.4,2,2.6,14,18.4
