Time (s),Force (N),CO2 Mass (Mco2),Drag (FD),
7.9543,0.237066451,29.85,0.243,
7.956,0.237066451,29.85,0.243,
7.9577,0.237066451,29.85,0.243,
7.9594,0.237066451,29.85,0.243,
7.9611,0.267461542,29.85,0.243,
7.9628,0.237066451,29.85,0.243,
7.9645,0.237066451,29.85,0.243,
7.9662,0.237066451,29.85,0.243,
7.9679,0.237066451,29.85,0.243,
7.9696,0.20667136,29.85,0.243,
7.9713,0.20667136,29.85,0.243,
7.973,0.20667136,29.85,0.243,
7.9747,0.237066451,29.85,0.243,
7.9764,0.20667136,29.85,0.243,
7.9781,0.176276269,29.85,0.243,
7.9798,0.20667136,29.85,0.243,
7.9815,0.145881178,29.85,0.243,
7.9832,0.145881178,29.85,0.243,
7.9849,0.20667136,29.85,0.243,
7.9866,1.604845544,29.85,0.243,
7.9883,3.884477364,29.85,0.243,
7.99,6.468060095,29.85,0.243,
7.9917,10.20665628,29.85,0.243,
7.9934,14.61394447,29.85,0.243,
7.9951,19.78110993,29.85,0.243,
7.9968,25.2522263,29.85,0.243,
7.9985,29.53793412,29.85,0.243,
8.0002,32.09112176,29.85,0.243,
8.0019,32.91178922,29.85,0.243,
8.0036,31.84796103,29.85,0.243,
8.0053,28.96042739,29.85,0.243,
8.007,24.40116375,29.85,0.243,
8.0087,19.23399829,29.85,0.243,
8.0104,14.70512974,29.85,0.243,
8.0121,11.27048446,29.85,0.243,
8.0138,8.869272279,29.85,0.243,
8.0155,7.501493187,29.85,0.243,
8.0172,6.802406095,29.85,0.243,
8.0189,6.772011004,29.85,0.243,
8.0206,7.379912823,29.85,0.243,
8.0223,8.626111552,29.85,0.243,
8.024,10.41942192,29.85,0.243,
8.0257,12.30391756,29.85,0.243,
8.0274,13.88446228,29.85,0.243,
8.0291,14.97868556,29.85,0.243,
8.0308,15.61698247,29.85,0.243,
8.0325,15.76895792,29.85,0.243,
8.0342,15.5257972,29.85,0.243,
8.0359,14.8571052,29.85,0.243,
8.0376,14.03643774,29.85,0.243,
8.0393,12.97260956,29.85,0.243,
8.041,12.06075683,29.85,0.243,
8.0427,11.27048446,29.85,0.243,
8.0444,10.87534828,29.85,0.243,
8.0461,10.63218755,29.85,0.243,
8.0478,10.72337283,29.85,0.243,
8.0495,10.84495319,29.85,0.243,
8.0512,11.02732374,29.85,0.243,
8.0529,11.20969428,29.85,0.243,
8.0546,11.39206483,29.85,0.243,
8.0563,11.42245992,29.85,0.243,
8.058,11.30087955,29.85,0.243,
8.0597,11.27048446,29.85,0.243,
8.0614,11.20969428,29.85,0.243,
8.0631,11.1489041,29.85,0.243,
8.0648,11.11850901,29.85,0.243,
8.0665,11.17929919,29.85,0.243,
8.0682,11.17929919,29.85,0.243,
8.0699,11.17929919,29.85,0.243,
8.0716,11.17929919,29.85,0.243,
8.0733,11.17929919,29.85,0.243,
8.075,11.1489041,29.85,0.243,
8.0767,11.1489041,29.85,0.243,
8.0784,11.11850901,29.85,0.243,
8.0801,11.08811392,29.85,0.243,
8.0818,10.99692865,29.85,0.243,
8.0835,10.96653355,29.85,0.243,
8.0852,10.84495319,29.85,0.243,
8.0869,10.75376792,29.85,0.243,
8.0886,10.69297774,29.85,0.243,
8.0903,10.51060719,29.85,0.243,
8.092,10.38902683,29.85,0.243,
8.0937,10.17626119,29.85,0.243,
8.0954,10.08507592,29.85,0.243,
8.0971,9.902705371,29.85,0.243,
8.0988,9.750729916,29.85,0.243,
8.1005,9.629149553,29.85,0.243,
8.1022,9.53796428,29.85,0.243,
8.1039,9.446779007,29.85,0.243,
8.1056,9.385988825,29.85,0.243,
8.1073,9.325198643,29.85,0.243,
8.109,9.203618279,29.85,0.243,
8.1107,9.112433007,29.85,0.243,
8.1124,9.021247734,29.85,0.243,
8.1141,8.930062461,29.85,0.243,
8.1158,8.808482097,29.85,0.243,
8.1175,8.717296824,29.85,0.243,
8.1192,8.656506642,29.85,0.243,
8.1209,8.56532137,29.85,0.243,
8.1226,8.443741006,29.85,0.243,
8.1243,8.382950824,29.85,0.243,
8.126,8.291765551,29.85,0.243,
8.1277,8.230975369,29.85,0.243,
8.1294,8.170185187,29.85,0.243,
8.1311,8.109395005,29.85,0.243,
8.1328,8.018209733,29.85,0.243,
8.1345,7.92702446,29.85,0.243,
8.1362,7.805444096,29.85,0.243,
8.1379,7.683863732,29.85,0.243,
8.1396,7.531888278,29.85,0.243,
8.1413,7.440703005,29.85,0.243,
8.143,7.319122641,29.85,0.243,
8.1447,7.227937368,29.85,0.243,
8.1464,7.167147186,29.85,0.243,
8.1481,7.136752095,29.85,0.243,
8.1498,7.075961913,29.85,0.243,
8.1515,7.015171732,29.85,0.243,
8.1532,6.984776641,29.85,0.243,
8.1549,6.893591368,29.85,0.243,
8.1566,6.832801186,29.85,0.243,
8.1583,6.741615913,29.85,0.243,
8.16,6.65043064,29.85,0.243,
8.1617,6.498455185,29.85,0.243,
8.1634,6.346479731,29.85,0.243,
8.1651,6.255294458,29.85,0.243,
8.1668,6.042528821,29.85,0.243,
8.1685,5.920948458,29.85,0.243,
8.1702,5.799368094,29.85,0.243,
8.1719,5.708182821,29.85,0.243,
8.1736,5.647392639,29.85,0.243,
8.1753,5.556207366,29.85,0.243,
8.177,5.556207366,29.85,0.243,
